Town,action,confidence,employment_page_type,new_employment_url,old_employment_url,platform,reason,source
East Granby,no_change,,,,,other,employment_not_marked_broken,
East Haddam,no_change,,,,,other,employment_not_marked_broken,
East Hampton,needs_review,,,,,civicplus,no_candidate_validated,
East Hartford,no_change,,,,,civicplus,employment_not_marked_broken,
East Haven,needs_review,,,,,civicplus,no_candidate_validated,
East Lyme,needs_review,,,,,other,no_candidate_validated,
East Windsor,no_change,,,,,civicplus,status_403_bot_block_likely,
Eastford,needs_review,,,,,civicplus,no_candidate_validated,
Easton,no_change,,,,,civicplus,status_403_bot_block_likely,
Ellington,no_change,,,,,other,employment_not_marked_broken,
Enfield,no_change,,,,,civicplus,employment_not_marked_broken,
Essex,needs_review,,,,,civicplus,no_candidate_validated,
Fairfield,no_change,,,,,other,employment_not_marked_broken,
Farmington,no_change,,,,,granicus,status_403_bot_block_likely,
Franklin,no_change,,,,,civicplus,employment_not_marked_broken,
Glastonbury,no_change,,,,,granicus,employment_not_marked_broken,
Goshen,no_change,,,,,civicplus,status_403_bot_block_likely,
Granby,no_change,,,,,civicplus,employment_not_marked_broken,
Greenwich,no_change,,,,,civicplus,employment_not_marked_broken,
Griswold,no_change,,,,,other,employment_not_marked_broken,
Groton,no_change,,,,,other,employment_not_marked_broken,
Guilford,no_change,,,,,other,employment_not_marked_broken,
Haddam,needs_review,,,,,civicplus,no_candidate_validated,
Hamden,no_change,,,,,civicplus,employment_not_marked_broken,
Hampton,no_change,,,,,other,employment_not_marked_broken,
Hartford,no_change,,,,,granicus,employment_not_marked_broken,
Hartland,needs_review,,,,,other,no_candidate_validated,
Harwinton,no_change,,,,,civicplus,employment_not_marked_broken,
Hebron,no_change,,,,,other,employment_not_marked_broken,
Kent,no_change,,,,,civicplus,status_403_bot_block_likely,
Killingly,no_change,,,,,other,employment_not_marked_broken,
Killingworth,no_change,,,,,other,employment_not_marked_broken,
Lebanon,no_change,,,,,civicplus,status_403_bot_block_likely,
Ledyard,no_change,,,,,civicplus,employment_not_marked_broken,
Lisbon,no_change,,,,,civicplus,employment_not_marked_broken,
Litchfield,no_change,,,,,civiclift,employment_not_marked_broken,
Lyme,no_change,,,,,other,employment_not_marked_broken,
Madison,no_change,,,,,civicplus,employment_not_marked_broken,
Manchester,no_change,,,,,granicus,employment_not_marked_broken,
Mansfield,no_change,,,,,civicplus,employment_not_marked_broken,
Marlborough,no_change,,,,,other,employment_not_marked_broken,
Meriden,no_change,,,,,other,employment_not_marked_broken,
Middlebury,no_change,,,,,civicplus,status_403_bot_block_likely,
Middlefield,no_change,,,,,civicplus,employment_not_marked_broken,
Middletown,no_change,,,,,civicplus,employment_not_marked_broken,
Milford,no_change,,,,,civicplus,employment_not_marked_broken,
Monroe,no_change,,,,,other,employment_not_marked_broken,
Montville,no_change,,,,,other,employment_not_marked_broken,
Morris,no_change,,,,,other,employment_not_marked_broken,
Naugatuck,no_change,,,,,other,employment_not_marked_broken,
Newington,no_change,,,,,civicplus,employment_not_marked_broken,
Newtown,no_change,,,,,civicplus,status_403_bot_block_likely,
New Britain,no_change,,,,,other,employment_not_marked_broken,
New Canaan,no_change,,,,,other,employment_not_marked_broken,
New Fairfield,no_change,,,,,granicus,employment_not_marked_broken,
New Hartford,needs_review,,,,,civicplus,no_candidate_validated,
New Haven,no_change,,,,,granicus,employment_not_marked_broken,
New London,no_change,,,,,other,employment_not_marked_broken,
New Milford,no_change,,,,,other,employment_not_marked_broken,
Norfolk,updated,70,page,https://norfolkct.org/applications-forms/,,other,,homepage_link
North Branford,no_change,,,,,civicplus,employment_not_marked_broken,
North Canaan,updated,70,page,https://www.northcanaan.org/,,civiclift,,fallback_home
North Haven,no_change,,,,,other,employment_not_marked_broken,
North Stonington,no_change,,,,,civicplus,status_403_bot_block_likely,
Norwalk,no_change,,,,,civicplus,employment_not_marked_broken,
Norwich,no_change,,,,,civicplus,employment_not_marked_broken,
Old Lyme,no_change,,,,,civicplus,employment_not_marked_broken,
Old Saybrook,no_change,,,,,civicplus,status_403_bot_block_likely,
Orange,no_change,,,,,civicplus,employment_not_marked_broken,
Oxford,no_change,,,,,civicplus,status_403_bot_block_likely,
Plainfield,no_change,,,,,other,employment_not_marked_broken,
Plainville,no_change,,,,,civicplus,status_403_bot_block_likely,
Plymouth,no_change,,,,,other,employment_not_marked_broken,
Pomfret,no_change,,,,,civicplus,status_403_bot_block_likely,
Portland,no_change,,,,,other,employment_not_marked_broken,
Preston,no_change,,,,,civicplus,employment_not_marked_broken,
Prospect,no_change,,,,,other,employment_not_marked_broken,
Putnam,no_change,,,,,other,employment_not_marked_broken,
Redding,no_change,,,,,other,employment_not_marked_broken,
Ridgefield,no_change,,,,,other,employment_not_marked_broken,
Rocky Hill,no_change,,,,,civicplus,employment_not_marked_broken,
Roxbury,no_change,,,,,civicplus,employment_not_marked_broken,
Salem,no_change,,,,,civicplus,status_403_bot_block_likely,
Salisbury,no_change,,,,,other,employment_not_marked_broken,
Scotland,updated,70,page,https://www.scotlandct.org/,,civiclift,,fallback_home
Seymour,no_change,,,,,other,employment_not_marked_broken,
Sharon,no_change,,,,,civicplus,employment_not_marked_broken,
Shelton,needs_review,,,,,other,no_candidate_validated,
Sherman,updated,70,page,https://www.shermanct.gov/job-openings,https://www.shermanct.gov/job-openings,civiclift,,civiclift_path
Simsbury,no_change,,,,,other,employment_not_marked_broken,
Somers,needs_review,,,,,other,no_candidate_validated,
South Windsor,no_change,,,,,civicplus,status_403_bot_block_likely,
Southbury,no_change,,,,,other,employment_not_marked_broken,
Southington,no_change,,,,,other,employment_not_marked_broken,
Sprague,needs_review,,,,,other,no_candidate_validated,
Stafford,no_change,,,,,other,employment_not_marked_broken,
Stamford,needs_review,,,,,granicus,no_candidate_validated,
Sterling,no_change,,,,,civicplus,employment_not_marked_broken,
Stonington,no_change,,,,,civicplus,status_403_bot_block_likely,
Stratford,no_change,,,,,other,employment_not_marked_broken,
Suffield,no_change,,,,,other,employment_not_marked_broken,
Thomaston,no_change,,,,,civiclift,employment_not_marked_broken,
Thompson,no_change,,,,,civicplus,status_403_bot_block_likely,
Tolland,no_change,,,,,civicplus,status_403_bot_block_likely,
Torrington,needs_review,,,,,civicplus,no_candidate_validated,
Trumbull,no_change,,,,,civicplus,employment_not_marked_broken,
Union,needs_review,,,,,other,no_candidate_validated,
Vernon,no_change,,,,,other,employment_not_marked_broken,
Voluntown,no_change,,,,,civicplus,employment_not_marked_broken,
Wallingford,no_change,,,,,other,employment_not_marked_broken,
Warren,no_change,,,,,civicplus,employment_not_marked_broken,
Washington,no_change,,,,,civicplus,status_403_bot_block_likely,
Waterbury,no_change,,,,,other,employment_not_marked_broken,
Waterford,no_change,,,,,civicplus,employment_not_marked_broken,
Watertown,no_change,,,,,other,employment_not_marked_broken,
West Hartford,needs_review,,,,,other,no_candidate_validated,
West Haven,no_change,,,,,civicplus,employment_not_marked_broken,
Westbrook,no_change,,,,,civicplus,employment_not_marked_broken,
Weston,no_change,,,,,granicus,status_403_bot_block_likely,
Westport,no_change,,,,,granicus,status_403_bot_block_likely,
Wethersfield,no_change,,,,,civicplus,employment_not_marked_broken,
Willington,needs_review,,,,,civicplus,no_candidate_validated,
Wilton,no_change,,,,,civicplus,status_403_bot_block_likely,
Winchester,updated,60,ephemeral_posts,https://www.townofwinchester.org/,,civiclift,no_stable_employment_page_detected_ephemeral_posts,
Windham,no_change,,,,,civicplus,employment_not_marked_broken,
Windsor,no_change,,,,,civicplus,employment_not_marked_broken,
Windsor Locks,no_change,,,,,other,employment_not_marked_broken,
Wolcott,no_change,,,,,civicplus,employment_not_marked_broken,
Woodbridge,no_change,,,,,civicplus,employment_not_marked_broken,
Woodbury,no_change,,,,,other,employment_not_marked_broken,
Woodstock,no_change,,,,,civicplus,status_403_bot_block_likely,
