Town,Town Website,Employment Page URL,Application Form URL,ATS or Platform (if known),Employment Status,Application Status,Last Checked (employment),Last Checked (application)
Durham,https://www.townofdurhamct.org/,https://www.townofdurhamct.org/job-openings,https://cdn.prod.website-files.com/63d982687277ef4cf385a8e7/6480bf3f9742630ac2e34c47_APPLICATION_FOR_EMPLOYMENT_FORM_fillable_rev_March_2014.doc,CivicLift,Verified,Verified,"Apr 17, 2026","Apr 17, 2026"
East Granby,https://eastgranbyct.org/,https://eastgranbyct.org/employment-opportunities/,https://eastgranbyct.org/wp-content/uploads/2024/09/Job-Application.pdf,,Verified,Verified,"Apr 17, 2026","Apr 17, 2026"
East Haddam,https://www.easthaddam.org/,https://www.easthaddam.org/jobs,https://www.easthaddam.org/evo_jobs_paper_application_download/1317/,EvoGov,Verified,Verified,"Apr 17, 2026","Apr 17, 2026"
East Hampton,https://www.easthamptonct.gov/,https://easthamptonct.gov/1281/Job-Openings,https://easthamptonct.gov/DocumentCenter/View/951/Employment-Application-2-6-2019-PDF,CivicPlus,Verified,Verified,"Apr 17, 2026","Apr 17, 2026"
East Hartford,https://www.easthartfordct.gov/,https://www.governmentjobs.com/careers/easthartfordct,,CivicPlus,Verified,Unavailable,"Apr 17, 2026",
East Haven,https://www.easthaven-ct.gov/,https://www.easthaven-ct.gov/Jobs.aspx,https://www.easthaven-ct.gov/DocumentCenter/View/657,CivicPlus,Verified,Verified,"Apr 17, 2026","Apr 17, 2026"
Ellington,https://www.ellington-ct.gov/,https://www.ellington-ct.gov/departments-and-services/human-resources/job-opportunities,https://workforcenow.adp.com/mascsr/default/mdf/recruitment/recruitment.html?cid=70dba418-861c-42ec-bf66-a276b06c75cc&ccId=19000101_000003&lang=en_US&$top=6&jwId=SYS:JW:001&joinTC=joinTC&jwId=SYS:JW:001,finalsite,Verified,Verified,"Apr 17, 2026","Apr 17, 2026"
Enfield,https://www.enfield-ct.gov/,https://enfield.munisselfservice.com/employmentopportunities/default.aspx,,CivicPlus,Verified,Unavailable,"Apr 17, 2026",
Essex,https://www.essexct.gov,https://www.essexct.gov/354/Employment-Opportunities,https://www.essexct.gov/DocumentCenter/View/873/Application-for-Employment---FillablePDF,CivicPlus,Verified,Verified,"Apr 17, 2026","Apr 17, 2026"
Fairfield,https://www.fairfieldct.org/,https://www.governmentjobs.com/careers/fairfieldct,,Revize,Verified,Unavailable,"Apr 17, 2026",
Granby,https://www.granby-ct.gov/,https://ct-granby.civicplus.com/Jobs.aspx,,CivicPlus,Verified,Unavailable,"Apr 17, 2026",
Greenwich,https://www.greenwichct.gov/,https://www.governmentjobs.com/careers/greenwichct,,CivicPlus,Verified,Unavailable,"Apr 17, 2026",
Griswold,https://www.griswold-ct.org/,https://www.griswold-ct.org/how_do_i/apply_for_obtain/employment_opportunities.php,https://www.griswold-ct.org/employment%20app%20rev%202021%20non%20fillable.pdf?t=202510021326250,Revize,Verified,Verified,"Apr 17, 2026","Apr 17, 2026"
Groton,https://www.groton-ct.gov/,https://www.irecruit-us.com/index.php?OrgID=I20101202,https://www.groton-ct.gov/document_center/Departments/Human%20Resource/Employment%20application%202021.pdf,Revize,Verified,Verified,"Apr 17, 2026","Apr 17, 2026"
Guilford,https://www.guilfordct.gov/,https://www.guilfordct.gov/town_departments/human_resources/job_listings.php,https://www.guilfordct.gov/Document_Center/Department/Human%20Resources/Employment-Application-2-8.1.2018V6.pdf,Revize,Verified,Verified,"Apr 17, 2026","Apr 17, 2026"
Hamden,https://www.hamden.com/,https://www.hamden.com/Jobs.aspx,https://www.hamden.com/DocumentCenter/View/1626/Hamden-Job-Application---April-2019---PDF,CivicPlus,Verified,Verified,"Apr 17, 2026","Apr 17, 2026"
Hampton,https://www.hamptonct.org/,https://www.hamptonct.org/help_wanted.htm,,Quasar Internet Solutions,Verified,Unavailable,"Apr 17, 2026",
Hartford,https://www.hartfordct.gov/Home,https://www.governmentjobs.com/careers/hartfordct,,Granicus,Verified,Unavailable,"Apr 17, 2026",
Harwinton,https://www.harwinton.gov/,https://www.harwinton.gov/820/Employment,https://www.harwinton.gov/DocumentCenter/View/702/Municipal-Employment-Application-PDF,CivicPlus,Verified,Verified,"Apr 17, 2026","Apr 17, 2026"
Hebron,https://www.hebronct.com/,https://hebronct.com/contact-us/employment/,https://hebronct.com/uploads/2019/02/Hebron-Employment-Application-APPROVED-VERSION-WEB-and-DEPARTMENTS.pdf,,Verified,Verified,"Apr 17, 2026","Apr 17, 2026"
Killingly,https://www.killinglyct.gov/,https://www.killinglyct.gov/employment_opportunites/index.php,,Revize,Verified,Unavailable,"Apr 17, 2026",
Killingworth,https://townofkillingworth.com/,https://townofkillingworth.com/employment-opportunities/,https://townofkillingworth.com/wp-content/uploads/2025/02/Employment-application-Town-of-Killingworth.pdf,PurpleDog,Verified,Verified,"Apr 17, 2026","Apr 17, 2026"
Ledyard,https://www.ledyardct.org/,https://www.ledyardct.org/87/Job-Opportunities,https://www.ledyardct.org/DocumentCenter/View/217/Application-for-Employment,CivicPlus,Verified,Verified,"Apr 17, 2026","Apr 17, 2026"
Lisbon,https://www.lisbonct.gov/,https://www.lisbonct.gov/jobs.aspx,https://www.lisbonct.gov/DocumentCenter/View/547/Application-for-Employment-PDF,CivicPlus,Verified,Verified,"Apr 17, 2026","Apr 17, 2026"
Litchfield,https://www.townoflitchfieldct.gov/,https://www.townoflitchfieldct.gov/job-openings,https://cdn.prod.website-files.com/60217b2eafae3927ca1ca259/68d197e80f9bc98926ae2fdc_Town%2520of%2520Litchfield%2520Employment%2520Application%2520%25282%2529.pdf,CivicLift,Verified,Verified,"Apr 17, 2026","Apr 17, 2026"
Lyme,https://townlyme.org/,https://townlyme.org/help-wanted/,,,Verified,Unavailable,"Apr 17, 2026",
Madison,https://www.madisonct.org/,https://www.madisonct.org/jobs.aspx,https://madisonct.org/FormCenter/Job-Applications-5/Employment-Application-54,CivicPlus,Verified,Verified,"Apr 17, 2026","Apr 17, 2026"
Manchester,https://www.manchesterct.gov/Home,https://www.manchesterct.gov/Government/Departments/Human-Resources/Employment-Opportunities-with-the-Town-of-Manchester,https://jobs.keldair.com/manchesterct,Granicus,Verified,Verified,"Apr 17, 2026","Apr 17, 2026"
Mansfield,https://www.mansfieldct.gov/,https://www.applitrack.com/mansfieldct/onlineapp/jobpostings/view.asp?internaltransferform.Url=,,CivicPlus,Verified,Unavailable,"Apr 17, 2026",
Marlborough,https://www.marlboroughct.net/,https://www.marlboroughct.net/government/open_positions.php,https://www.marlboroughct.net/Job_Application.pdf,Revize,Verified,Verified,"Apr 17, 2026","Apr 17, 2026"
Meriden,https://www.meridenct.gov/,https://www.meridenct.gov/government/departments/human-resources/careers/,https://www.meridenct.gov/Customer-Content/www/CMS/files/Employment_Application_fillable_.pdf,Web Solutions,Verified,Verified,"Apr 17, 2026","Apr 17, 2026"
Middlefield,https://www.middlefieldct.org/,https://www.middlefieldct.org/Jobs.aspx,,CivicPlus,Verified,Unavailable,"Apr 17, 2026",
Middletown,https://www.middletownct.gov/,https://www.governmentjobs.com/careers/middletownct,,CivicPlus,Verified,Unavailable,"Apr 17, 2026",
Milford,https://www.milfordct.us/,https://www.milfordct.us/767/Employment-Opportunities,,CivicPlus,Verified,Unavailable,"Apr 17, 2026",
Monroe,https://www.monroect.gov/,https://www.monroect.gov/p/available-positions,https://www.monroect.gov/p/application-for-employment,Catalis,Verified,Verified,"Apr 17, 2026","Apr 17, 2026"
Montville,https://www.townofmontville.org/,https://www.townofmontville.org/careers/,https://www.townofmontville.org/form-repository/DownloadFile.aspx?FileID=1031,Web Solutions,Verified,Verified,"Apr 17, 2026","Apr 17, 2026"
Morris,https://www.morrisct.gov/,https://www.morrisct.gov/job-openings,,,Verified,Unavailable,"Apr 17, 2026",
Naugatuck,http://www.naugatuck-ct.gov/,http://www.naugatuck-ct.gov/human-resources/employment,http://www.naugatuck-ct.gov/filestorage/166/203/1586/ApplicationforEmployment.pdf,Catalis,Verified,Verified,"Apr 17, 2026","Apr 17, 2026"
New Britain,https://www.newbritainct.gov/,https://www.newbritainct.gov/services/civil/employment/job-postingshtm,https://www.newbritainct.gov/fs/resource-manager/view/17872a85-abad-4c41-a629-4ad89bb25b00,finalsite,Verified,Verified,"Apr 17, 2026","Apr 17, 2026"
New Canaan,https://www.newcanaan.info/,https://workforcenow.adp.com/mascsr/default/mdf/recruitment/recruitment.html?cid=cc5de7eb-4d8c-4b09-aafa-ddaefc2b33b3,,Revize,Verified,Unavailable,"Apr 17, 2026",
New Fairfield,https://www.newfairfield.org/,https://www.applitrack.com/newfairfield/onlineapp/default.aspx,,Granicus,Verified,Unavailable,"Apr 17, 2026",
New Haven,https://www.newhavenct.gov/,https://www.jobapscloud.com/oec/NewHaven/,,Granicus,Verified,Unavailable,"Apr 17, 2026",
New London,https://newlondonct.gov/,https://newlondonct.gov/employment-opportunities,https://newlondonct.gov/filestorage/7495/7518/7798/9750/Employment_Application_Form.pdf,Catalis,Verified,Verified,"Apr 17, 2026","Apr 17, 2026"
New Milford,https://www.newmilford.org/,https://www.newmilford.org/personnel/job-openings,https://www.newmilford.org/filestorage/3088/3126/Employment_Application_fillable_2025.pdf,Catalis,Verified,Verified,"Apr 17, 2026","Apr 17, 2026"
Newington,https://www.newingtonct.gov/,https://www.newingtonct.gov/1179/Employment-Opportunities,https://www.newingtonct.gov/DocumentCenter/View/116/Employment-Application-PDF,CivicPlus,Verified,Verified,"Apr 17, 2026","Apr 17, 2026"
North Branford,https://www.northbranfordct.gov/,https://www.northbranfordct.gov/jobs.aspx,https://www.northbranfordct.gov/FormCenter/General-Forms-4/Job-Application-47,CivicPlus,Verified,Verified,"Apr 17, 2026","Apr 17, 2026"
North Haven,https://www.northhaven-ct.gov/,https://www.northhaven-ct.gov/government/employment_opportunities.php,https://www.northhaven-ct.gov/Document%20Center/Government/employment/EmploymentApplicationFillable392022v1_3.pdf?t=202412181620010,Revize,Verified,Verified,"Apr 17, 2026","Apr 17, 2026"
Norwalk,https://www.norwalkct.gov/,https://www.governmentjobs.com/careers/norwalk,,CivicPlus,Verified,Unavailable,"Apr 17, 2026",
Norwich,https://www.norwichct.gov/,https://www.norwichct.gov/718/Employment-Opportunities,,CivicPlus,Verified,Unavailable,"Apr 17, 2026",
Old Saybrook,https://www.oldsaybrookct.gov/,https://www.oldsaybrookct.gov/Jobs.aspx,https://www.oldsaybrookct.gov/Jobs.aspx#docaccess-faae6cead39d9468d1c57eecc4aefc59ddb236cadf447b8bbd4082cf99028323,CivicPlus,Verified,Verified,"Apr 17, 2026","Apr 17, 2026"
Orange,https://www.orange-ct.gov/,https://www.orange-ct.gov/Jobs.aspx,,CivicPlus,Verified,Unavailable,"Apr 17, 2026",
Oxford,https://www.oxford-ct.gov/,https://www.oxford-ct.gov/1197/Employment-Opportunities,https://www.oxford-ct.gov/DocumentCenter/View/703/simple-job-application_3_0,CivicPlus,Verified,Verified,"Apr 17, 2026","Apr 17, 2026"
Plymouth,https://www.plymouthct.gov/,https://www.plymouthct.gov/jobs,https://www.plymouthct.gov/jobs/71/,EvoGov,Verified,Verified,"Apr 17, 2026","Apr 17, 2026"
Portland,https://www.portlandct.org/,https://www.portlandct.org/employment-opportunities,https://www.portlandct.org/_files/ugd/9e6474_54bf1837850e4732ae85931cf4f79722.pdf,,Verified,Verified,"Apr 17, 2026","Apr 17, 2026"
Prospect,https://townofprospect.gov/,https://townofprospect.gov/employment-opportunities/,https://cdn.townweb.com/townofprospect.gov/wp-content/uploads/2024/04/1Town_of_Prospect_Employment_Application_Revised_202122.pdf,TownWeb,Verified,Verified,"Apr 17, 2026","Apr 17, 2026"
Putnam,https://www.putnamct.us/,https://www.putnamct.us/departments/human-resources/job-postings,,Finalsite,Verified,Unavailable,"Apr 17, 2026",
Redding,https://reddingct.gov/,https://reddingct.gov/about-redding/jobs/,https://reddingct.gov/wp-content/uploads/2025/04/employment_application_fillable_4_2025363627.pdf,,Verified,Verified,"Apr 17, 2026","Apr 17, 2026"
Ridgefield,https://www.ridgefieldct.gov/,https://www.ridgefieldct.gov/departments/human_resources/current_employment_opportunities.php,https://www.ridgefieldct.gov/Documents/Departments/Human%20Resources/Current%20Employment%20Opportunities/job_application_fillable_form_2024_1.pdf?t=202509181700240,Revize,Verified,Verified,"Apr 17, 2026","Apr 17, 2026"
Rocky Hill,https://www.rockyhillct.gov/,https://www.rockyhillct.gov/300/Employment-Opportunities,https://www.rockyhillct.gov/DocumentCenter/View/349/Application-for-Employment-PDF,CivicPlus,Verified,Verified,"Apr 17, 2026","Apr 17, 2026"
Roxbury,https://www.roxburyct.com/,https://www.roxburyct.com/Jobs.aspx,https://www.roxburyct.com/DocumentCenter/View/686/Employment-Application-PDF,CivicPlus,Verified,Verified,"Apr 17, 2026","Apr 17, 2026"
Salisbury,https://www.salisburyct.us/,https://www.salisburyct.us/employment/,,,Verified,Unavailable,"Apr 17, 2026",
Seymour,https://www.seymourct.org/,https://www.seymourct.org/jobs,,EvoGov,Verified,Unavailable,"Apr 17, 2026",
Shelton,https://cityofshelton.org/,https://cityofshelton.org/p/job-opportunities,http://cityofshelton.org/Home/DownloadDocument?docId=d3f41bf8-d2ce-4937-8811-cf8886fe9ce8,Catalis,Verified,Verified,"Apr 17, 2026","Apr 17, 2026"
Sherman,https://www.shermanct.gov/,https://www.shermanct.gov/job-openings,,CivicLift,Verified,Unavailable,"Apr 17, 2026",
Simsbury,https://www.simsbury-ct.gov/,https://www.governmentjobs.com/careers/simsburyct,,,Verified,Unavailable,"Apr 17, 2026",
Southbury,https://www.southbury-ct.org/,https://www.southbury-ct.org/employment,https://www.southbury-ct.org/filestorage/20558/20703/Southbury-employment-application_2026-fillable.pdf,Catalis,Verified,Verified,"Apr 17, 2026","Apr 17, 2026"
Stafford,https://www.staffordct.org/,https://www.staffordct.org/departments/human_resources.php,https://www.staffordct.org/Departments/Human%20Resources/Town%20of%20Stafford%20employment%20application%20fillable%20pdf%20rev%2002%2013%2024.pdf?t=202502101105290,Revize,Verified,Verified,"Apr 17, 2026","Apr 17, 2026"
Stamford,https://www.stamfordct.gov/,https://www.governmentjobs.com/careers/stamfordct,,Granicus,Verified,Unavailable,"Apr 17, 2026",
Sterling,https://www.sterlingct.us/,https://www.sterlingct.us/231/Employment,https://www.sterlingct.us/DocumentCenter/View/566/Application-for-Employment,CivicPlus,Verified,Verified,"Apr 17, 2026","Apr 17, 2026"
Stratford,https://www.townofstratford.com/,https://townofstratfordct.sites.thrillshare.com/documents/town-hall/town-departments-%26-services/human-resources/employment-opportunities/415588,https://core-docs.s3.amazonaws.com/documents/asset/uploaded_file/3632/Stratford/2768288/APPLICATION_FOR_EMPLOYMENT.pdf,Apptegy,Verified,Verified,"Apr 17, 2026","Apr 17, 2026"
Suffield,https://www.suffieldct.gov/,https://www.suffieldct.gov/departments/hr,https://resources.finalsite.net/images/v1591199569/suffieldctgov/uastjpqguqv8mv8y9mm9/EmploymentApplication.pdf,Finalsite,Verified,Verified,"Apr 17, 2026","Apr 17, 2026"
Thomaston,https://www.thomastonct.gov/,https://www.thomastonct.gov/job-openings,,CivicLift,Verified,Unavailable,"Apr 17, 2026",
Trumbull,https://www.trumbull-ct.gov/,https://www.trumbull-ct.gov/210/Human-Resources-Civil-Service,https://www.governmentjobs.com/careers/trumbullct,CivicPlus,Verified,Verified,"Apr 17, 2026","Apr 17, 2026"
Wallingford,https://www.wallingfordct.gov/,https://www.wallingfordct.gov/government/departments/human-resources/,https://www.governmentjobs.com/careers/wallingfordct/,Web Solutions,Verified,Verified,"Apr 17, 2026","Apr 17, 2026"
Warren,https://www.warrenct.gov/,https://www.warrenct.gov/home/pages/employment-opportunities,https://www.warrenct.gov/home/files/job-appllication,CivicPlus,Verified,Verified,"Apr 17, 2026","Apr 17, 2026"
Washington,https://www.washingtonct.org/,https://www.washingtonct.org/1359/Employment,https://www.washingtonct.org/DocumentCenter/View/2127/Application-For-Employment,CivicPlus,Verified,Verified,"Apr 17, 2026","Apr 17, 2026"
Waterbury,https://www.waterburyct.org/,https://www.waterburyct.org/services/human-resources/employment-information,https://www.waterburyct.org/filestorage/103431/106857/106915/106917/City_of_Waterbury_General_Job_Application_v2024.pdf,Catalis,Verified,Verified,"Apr 17, 2026","Apr 17, 2026"
Waterford,https://www.waterfordct.org/,https://www.waterfordct.org/Jobs.aspx,https://www.waterfordct.org/DocumentCenter/View/2470/Town-of-Waterford-Application-Revised-Oct-2023,CivicPlus,Verified,Verified,"Apr 17, 2026","Apr 17, 2026"
West Haven,https://www.cityofwesthaven.com/,https://www.cityofwesthaven.com/Jobs.aspx,https://www.cityofwesthaven.com/DocumentCenter/View/5426/City-of-West-Haven-Employment-Application-PDF,CivicPlus,Verified,Verified,"Apr 17, 2026","Apr 17, 2026"
Westbrook,https://www.westbrookct.us/,https://www.westbrookct.us/Jobs.aspx,,CivicPlus,Verified,Unavailable,"Apr 17, 2026",
Wethersfield,https://wethersfieldct.gov/,https://ct-wethersfield.civicplus.com/Jobs.aspx,https://www.wethersfieldct.gov/DocumentCenter/View/1310/Employment-Application?bidId=,CivicPlus,Verified,Verified,"Apr 17, 2026","Apr 17, 2026"
Windham,https://www.windhamct.gov/,https://www.windhamct.gov/522/Employment-Opportunities,https://www.windhamct.gov/DocumentCenter/View/453,CivicPlus,Verified,Verified,"Apr 17, 2026","Apr 17, 2026"
Windsor,https://www.windsorct.gov/,https://www.windsorct.gov/718/Career-Opportunities,,CivicPlus,Verified,Unavailable,"Apr 17, 2026",
Windsor Locks,https://windsorlocksct.org/,https://windsorlocksct.org/current-job-opportunities/,https://cdn.townweb.com/windsorlocksct.org/wp-content/uploads/2022/11/0097_001.pdf,Town Web,Verified,Verified,"Apr 17, 2026","Apr 17, 2026"
Wolcott,https://wolcottct.org/,https://wolcottct.org/Jobs.aspx,https://wolcottct.org/FormCenter/General-Forms-4/Job-Application-57,CivicPlus,Verified,Verified,"Apr 17, 2026","Apr 17, 2026"
Woodbridge,https://www.woodbridgect.org/,https://www.woodbridgect.org/357/Employment,https://www.woodbridgect.org/DocumentCenter/View/6294/Employment-Application-wth-Applicants-Certifications-and-Agreements-with-Employment-Info-Authorization-04-23-2024,CivicPlus,Verified,Verified,"Apr 17, 2026","Apr 17, 2026"
Woodbury,https://woodburyct.org/,https://woodburyct.org/jobs,https://woodburyct.org/vertical/Sites/%7B59751637-3DF2-41D3-B20A-866E470B1D1D%7D/uploads/Employment_Application_eff_2018_Fillable_Form.pdf,Catalis,Verified,Verified,"Apr 17, 2026","Apr 17, 2026"
